,id,date,firstName,lastName,country,zipCode,adults,children,infants,seniors,email,mailingList,school
0,5b1a1fcf-cdcf-493b-a6ce-71eb62681b64,2023-09-16,Marline,Desirae,United States,74112,1,3,3,2,Marline.Desirae@fakemail.com,True,False
1,89c33bf1-ae6e-43f6-b63e-5e09ed774b13,2023-04-11,Brittan,Tove,United States,74008,0,0,0,3,Brittan.Tove@fakemail.com,False,False
2,bc650fa1-25ca-4a3e-b6e4-01575685a1b0,2023-05-22,Fan,Abbe,United States,74110,4,6,0,4,Fan.Abbe@fakemail.com,False,False
3,49fe3fa2-9e70-49c4-bbb3-4b5f66547f6d,2023-02-20,Stevena,Nanine,United States,74130,1,2,2,3,Stevena.Nanine@fakemail.com,False,False
4,b08d54bd-6680-4281-ae12-207409856215,2023-04-04,Corly,Kalli,United States,74130,1,3,1,4,Corly.Kalli@fakemail.com,False,False
5,20343a48-82b0-427c-8687-9388b9d010b6,2023-05-22,Tamma,Layney,United States,74129,0,0,0,1,Tamma.Layney@fakemail.com,False,False
6,af9bc97e-3bb2-41eb-bd2a-df9c457a86c5,2023-06-24,Krystalle,Kesley,United States,74120,3,0,2,4,Krystalle.Kesley@fakemail.com,False,False
7,7ec7048e-6829-4339-a4b7-42979c93fd0a,2023-01-28,Austine,Irena,United States,74131,0,0,0,1,Austine.Irena@fakemail.com,False,False
8,2534ce57-af8b-43a0-a3e3-497e42061563,2023-02-18,Estrellita,Cherish,United States,74137,1,1,3,0,Estrellita.Cherish@fakemail.com,False,False
9,80f8cb1c-996e-4743-a1cc-e118617f2e96,2023-04-07,Lilly,Linda,United States,74104,0,0,0,4,Lilly.Linda@fakemail.com,True,False
10,fb3b8e7a-ea40-4439-9cb8-b3c81ef6c940,2023-04-14,Allys,Danielle,United States,74108,1,0,0,1,Allys.Danielle@fakemail.com,False,False
11,e8b4defb-9efc-48d4-886c-e95288e37498,2023-11-15,Joeann,Sallie,United States,74107,2,0,0,2,Joeann.Sallie@fakemail.com,False,False
12,92fde089-449c-4793-906a-9c3b8b075d6b,2023-10-13,Jo-Ann,Cathee,United States,74114,2,1,3,2,Jo-Ann.Cathee@fakemail.com,False,False
13,ee0007ee-d13c-49ca-9676-89653dd0cef2,2023-01-12,Albertine,Aime,Papua New Guinea,,2,1,1,2,Albertine.Aime@fakemail.com,False,False
14,28efabbe-db13-4285-893d-0c6f50391b4a,2023-06-07,Paula,Maxine,United States,74116,1,2,0,0,Paula.Maxine@fakemail.com,True,False
15,389561f5-d787-4b44-a922-6faeef23eb0e,2023-05-27,Nissa,Consolata,United States,74171,2,0,2,4,Nissa.Consolata@fakemail.com,False,False
16,e996c8ae-9dba-4db3-abc9-2a2be4ae0015,2022-12-12,Heloise,Harrie,United States,74128,3,0,0,2,Heloise.Harrie@fakemail.com,True,False
17,ebeea040-26a2-4517-af92-f3032c772924,2022-12-19,Arlina,Lolly,United States,74115,0,0,0,4,Arlina.Lolly@fakemail.com,False,False
18,fbd02056-e05c-422b-abb2-06e766bb3aef,2023-02-24,Catha,Marcia,United States,74128,1,2,0,1,Catha.Marcia@fakemail.com,False,False
19,74668504-0fef-40a9-8ae7-de7fcd7a330f,2023-04-23,Daune,Latrena,United States,74126,0,0,0,2,Daune.Latrena@fakemail.com,True,False
20,9bf42831-a7b2-43e9-b6d7-bbc009a57898,2023-02-14,Micheline,Tove,United States,74110,3,0,1,3,Micheline.Tove@fakemail.com,False,False
21,24bba228-b317-49f1-b123-58397ce7a09e,2023-11-09,Deni,Jillayne,United States,74104,1,0,3,0,Deni.Jillayne@fakemail.com,False,False
22,18e53bff-46fc-482f-b637-478d9cef3393,2023-04-28,Edy,Dawn,United States,74127,4,5,3,0,Edy.Dawn@fakemail.com,False,False
23,0e767eb1-177a-44bb-94cb-9001c84bafa9,2023-03-04,Yevette,Tory,United States,74114,4,11,2,3,Yevette.Tory@fakemail.com,True,True
24,d550f484-5cfe-4f2b-905f-003ffd3257cd,2023-11-21,Celestina,Dori,United States,74145,3,0,0,1,Celestina.Dori@fakemail.com,False,False
25,49af35de-5cb6-4d2d-8d86-6c19585b9271,2023-11-02,Diannne,Pammie,United States,74128,2,2,0,0,Diannne.Pammie@fakemail.com,True,False
26,0ca51967-aac8-4323-b7f4-c3f2a11dbdc4,2023-06-08,Janeta,Dollie,United States,74110,0,0,0,3,Janeta.Dollie@fakemail.com,False,False
27,ccbf9c7e-27b1-4595-af63-5ea4af260ee9,2022-12-10,Saree,Iris,United States,74115,0,0,0,4,Saree.Iris@fakemail.com,False,False
28,33c12101-5f47-4015-9f9f-406033df8549,2023-01-31,Calli,Fredericka,United States,74107,4,17,1,3,Calli.Fredericka@fakemail.com,False,True
29,fe6656a7-fda4-4cc1-9400-dba17156799a,2023-03-14,Lynnea,Karalee,United States,74008,4,0,0,1,Lynnea.Karalee@fakemail.com,False,False
30,bd120b72-2fe0-49c3-81cc-476395ae92f4,2023-03-05,Isabella,Karilynn,United States,74119,4,6,0,3,Isabella.Karilynn@fakemail.com,False,False
31,4172c6c3-2de3-4931-b321-64e6bcaa2229,2023-04-10,Rubetta,Zorine,Liberia,,1,0,0,1,Rubetta.Zorine@fakemail.com,True,False
32,512bb46f-301d-4e30-ab60-d84ea45a6fec,2023-01-29,Zsa Zsa,Bryn,United States,74132,3,0,0,1,Zsa Zsa.Bryn@fakemail.com,False,False
33,bf2ee889-903c-44a2-b623-2a1c856cb8a1,2023-09-29,Dorris,Aeriel,United States,74146,1,3,3,3,Dorris.Aeriel@fakemail.com,False,False
34,a93802c3-1351-4e1f-a612-4345126b3484,2023-08-29,Gussie,Joane,United States,74134,4,24,3,4,Gussie.Joane@fakemail.com,True,True
35,996d269b-dcec-4eec-8c8d-2043497e932c,2023-02-26,Janet,Bren,United States,74131,1,0,3,3,Janet.Bren@fakemail.com,False,False
36,6add910b-ace3-44fe-be8f-2e784e89fdeb,2023-11-14,Karlene,Tori,United States,74129,2,0,3,0,Karlene.Tori@fakemail.com,False,False
37,a13398fb-fdd8-43a5-a2fd-115afbb8bc15,2022-12-23,Raquel,Saloma,United States,74133,1,0,0,3,Raquel.Saloma@fakemail.com,False,False
38,e4a169ba-2ffb-40e7-92f2-468e57d7a1eb,2023-11-03,Hedwig,Prudy,United States,74115,2,2,1,1,Hedwig.Prudy@fakemail.com,False,False
39,c2aae6b5-9198-43b4-a536-57427bd61a2e,2023-01-13,Marti,Delinda,United States,74134,2,1,1,1,Marti.Delinda@fakemail.com,False,False
40,442ca4b0-1971-4336-bd46-c5d54e3ca01b,2023-01-04,Laurianne,Mickie,United States,74112,2,2,3,1,Laurianne.Mickie@fakemail.com,False,False
41,70b79e27-0038-424e-8d4d-957b7a1b081c,2023-09-10,Tammara,Shelley,United States,74131,0,0,0,3,Tammara.Shelley@fakemail.com,True,False
42,86a1a0ea-efa4-4ac0-912e-328751071694,2023-04-02,Renate,Roobbie,United States,74146,4,8,1,4,Renate.Roobbie@fakemail.com,False,True
43,09dd334a-7738-4a47-ad74-147ebcb8e14d,2023-10-23,Shaun,Aarika,United States,74135,0,0,0,4,Shaun.Aarika@fakemail.com,False,False
44,0df7409c-6d2a-41ec-b813-93fc981fc5b4,2023-02-05,Corabella,Sande,United States,74134,2,2,1,2,Corabella.Sande@fakemail.com,False,False
45,5091d830-8170-47fe-a17d-97d2700fd238,2023-04-27,Val,Shayna,United States,74115,0,0,0,3,Val.Shayna@fakemail.com,False,False
46,ee95235e-2f50-479d-a17a-96894ae8d57e,2023-05-24,Alejandrina,Iolande,United States,74146,0,0,0,2,Alejandrina.Iolande@fakemail.com,False,False
47,a4210afa-c80f-4fd8-9f0d-2a85831d03c2,2023-02-17,Jo-Ann,Cass,United States,74132,2,0,1,0,Jo-Ann.Cass@fakemail.com,False,False
48,0864d064-9cfc-4319-9842-6b0414d264ca,2023-10-03,Jori,Mariele,United States,74120,4,2,3,2,Jori.Mariele@fakemail.com,False,False
49,2a889df8-84c3-4a69-8baa-534cdd0d354f,2023-07-01,Donny,Cherey,United States,74134,3,0,3,3,Donny.Cherey@fakemail.com,False,False
50,e5fc0543-b735-425d-970d-16bfcc2ab6b7,2023-06-22,Arluene,Sena,United States,74126,3,0,1,3,Arluene.Sena@fakemail.com,True,False
